distributed-seir-08
02:51:46.996 PM 06-Apr-2020
min-pxcor,-15
max-pxcor,15
min-pycor,-15
max-pycor,15
initial-infected,100
alert-policy,global
testing-rate-presymptomatic,0.025
testing-rate-general,5.0E-4
init-alert-level,0
use-seed?,false
seed,30
relative-infectiousness-presymptomatic,0.15
p-icu,0.0125
pop-sd-multiplier,0.45
population,5000000
p-hosp,0.05
uniform-by-pop?,true
infected-to-recovered,0.1
flow-rate,1
cfr-0,0.01
exposed-to-presymptomatic,0.25
time-horizon,7
alert-levels-R0,[2.5 2.1 1.6 1.1 0.6]
num-locales,100
cfr-1,0.02
alert-levels-flow,[1.0 0.5 0.25 0.1 0.05]
presymptomatic-to-infected,1
testing-rate-symptomatic,0.25
icu-cap,500
log-all-locales?,true
ticks,seed,who,pop-0,susceptible,exposed,presymptomatic,infected,recovered,dead,tests,tests-positive,new-exposed,new-presymptomatic,new-infected,new-recovered,new-dead,alert-level
2,30,84,11924,11922,0,1,0,1,0,11,0,0,1,0,1,0,0
2,30,73,63127,63127,0,0,0,0,0,86,0,0,0,0,0,0,0
2,30,74,44868,44867,0,0,0,1,0,59,0,0,0,0,0,0,0
2,30,30,42487,42487,0,0,0,0,0,71,0,0,0,0,0,0,0
2,30,34,48555,48555,0,0,0,0,0,78,0,0,0,0,0,0,0
2,30,35,93072,93068,2,0,1,1,0,113,0,1,0,0,1,0,0
2,30,81,77754,77749,2,0,2,1,0,116,2,1,0,0,0,0,0
2,30,31,77510,77508,1,0,1,0,0,110,0,0,0,0,0,0,0
2,30,27,98056,98054,1,0,0,1,0,161,0,0,0,0,0,0,0
2,30,61,49772,49772,0,0,0,0,0,77,0,0,0,0,0,0,0
2,30,92,40127,40125,0,0,1,1,0,62,0,0,0,0,1,0,0
2,30,49,20462,20462,0,0,0,0,0,18,0,0,0,0,0,0,0
2,30,71,15467,15467,0,0,0,0,0,16,0,0,0,0,0,0,0
2,30,11,76428,76427,1,0,0,0,0,107,0,0,0,0,0,0,0
2,30,2,82653,82652,0,0,0,1,0,121,0,0,0,0,0,0,0
2,30,89,51920,51918,1,0,1,0,0,62,0,0,0,0,0,0,0
2,30,96,36605,36604,1,0,0,0,0,54,0,0,0,0,0,0,0
2,30,45,42696,42695,0,0,0,1,0,62,1,0,0,0,0,0,0
2,30,82,38543,38543,0,0,0,0,0,60,0,0,0,0,0,0,0
2,30,70,43648,43648,0,0,0,0,0,76,0,0,0,0,0,0,0
2,30,83,87544,87541,1,0,2,0,0,128,3,0,0,0,0,0,0
2,30,76,45393,45389,2,0,2,0,0,75,0,2,0,0,0,0,0
2,30,63,27270,27269,0,0,1,0,0,43,0,0,0,0,0,0,0
2,30,40,43353,43352,0,0,0,1,0,74,1,0,0,0,0,0,0
2,30,72,39023,39023,0,0,0,0,0,54,0,0,0,0,0,0,0
2,30,47,37970,37970,0,0,0,0,0,62,0,0,0,0,0,0,0
2,30,28,42641,42639,0,0,2,0,0,52,0,0,0,1,0,0,0
2,30,59,33823,33823,0,0,0,0,0,47,0,0,0,0,0,0,0
2,30,44,60299,60299,0,0,0,0,0,95,0,0,0,0,0,0,0
2,30,62,40037,40036,0,0,1,0,0,63,1,0,0,0,0,0,0
2,30,4,28646,28646,0,0,0,0,0,46,0,0,0,0,0,0,0
2,30,91,104970,104964,1,2,1,2,0,160,2,0,2,1,1,0,0
2,30,13,40511,40511,0,0,0,0,0,69,0,0,0,0,0,0,0
2,30,64,18921,18916,0,1,4,0,0,35,1,0,1,2,0,0,0
2,30,54,36576,36576,0,0,0,0,0,53,0,0,0,0,0,0,0
2,30,36,56098,56095,1,0,1,1,0,83,2,1,0,0,0,0,0
2,30,33,44395,44390,3,0,2,0,0,71,1,1,0,0,0,0,0
2,30,80,63796,63796,0,0,0,0,0,79,0,0,0,0,0,0,0
2,30,69,53164,53164,0,0,0,0,0,66,0,0,0,0,0,0,0
2,30,50,27732,27732,0,0,0,0,0,51,0,0,0,0,0,0,0
2,30,87,53095,53093,1,0,0,1,0,73,0,1,0,0,1,0,0
2,30,32,27081,27081,0,0,0,0,0,45,0,0,0,0,0,0,0
2,30,65,44456,44455,0,0,1,0,0,63,1,0,0,0,0,0,0
2,30,19,98412,98408,2,0,1,1,0,156,1,0,0,0,0,0,0
2,30,29,39332,39330,1,0,1,0,0,65,1,0,0,0,0,0,0
2,30,3,65953,65951,1,0,1,0,0,93,1,1,0,0,0,0,0
2,30,41,26270,26269,0,0,1,0,0,44,0,0,0,0,0,0,0
2,30,16,60228,60226,1,0,1,0,0,89,1,0,0,0,0,0,0
2,30,7,58184,58183,0,0,1,0,0,93,1,0,0,0,0,0,0
2,30,79,48294,48294,0,0,0,0,0,67,0,0,0,0,0,0,0
2,30,20,55566,55566,0,0,0,0,0,86,0,0,0,0,0,0,0
2,30,37,54083,54080,1,0,2,0,0,104,0,1,0,0,0,0,0
2,30,23,39155,39152,1,0,1,1,0,66,2,0,0,0,0,0,0
2,30,22,41984,41983,0,0,1,0,0,57,0,0,0,0,0,0,0
2,30,88,68951,68949,0,0,1,1,0,85,0,0,0,0,0,0,0
2,30,18,43527,43527,0,0,0,0,0,54,0,0,0,0,0,0,0
2,30,25,31523,31522,0,0,1,0,0,53,1,0,0,0,0,0,0
2,30,15,44051,44042,5,0,4,0,0,78,3,1,0,0,0,0,0
2,30,52,47337,47334,1,0,2,0,0,74,0,1,0,0,0,0,0
2,30,57,52198,52198,0,0,0,0,0,55,0,0,0,0,0,0,0
2,30,26,25592,25592,0,0,0,0,0,35,0,0,0,0,0,0,0
2,30,93,41293,41292,0,0,1,0,0,54,0,0,0,0,0,0,0
2,30,85,46823,46823,0,0,0,0,0,64,0,0,0,0,0,0,0
2,30,38,59086,59084,0,0,2,0,0,89,0,0,0,0,0,0,0
2,30,56,36265,36265,0,0,0,0,0,53,0,0,0,0,0,0,0
2,30,58,115660,115658,1,0,1,0,0,188,0,0,0,0,0,0,0
2,30,14,88788,88787,0,1,0,0,0,132,0,0,1,0,0,0,0
2,30,39,55473,55471,1,0,1,0,0,65,1,0,0,0,0,0,0
2,30,68,58106,58103,2,0,1,0,0,102,0,1,0,0,0,0,0
2,30,24,42784,42782,1,0,1,0,0,63,1,0,0,0,0,0,0
3,30,57,52198,52198,0,0,0,0,0,75,0,0,0,0,0,0,0
3,30,45,42696,42695,0,0,0,1,0,86,1,0,0,0,0,0,0
3,30,95,65354,65350,1,1,1,1,0,135,1,1,1,0,1,0,0
